,ED_ID,light,cluster
209,268156,234.0,2
210,267079,0.0,2
211,267038,0.0,2
212,267019,1.0,2
213,268023,270.0,2
214,267100,0.0,2
215,268097,408.0,4
216,268158,314.0,2
217,267014,0.0,1
218,268046,313.0,2
219,267101,0.0,2
220,268033,134.0,2
221,267027,3.0,2
222,268063,261.0,2
223,267028,0.0,2
224,268143,593.0,3
225,268024,226.0,2
226,267095,0.0,2
227,267138,0.0,2
228,267067,0.0,2
229,267082,0.0,2
230,267024,0.0,2
231,268050,165.0,2
232,267094,0.0,1
233,267153,0.0,2
234,268035,199.0,2
235,268037,380.0,2
236,268026,277.0,2
237,268022,280.0,2
238,267057,1.0,2
239,267008,0.0,2
240,267041,2.0,2
241,267074,0.0,2
242,267127,0.0,2
243,268117,334.0,3
244,267075,0.0,2
245,268148,180.0,2
246,268074,347.0,2
247,268136,211.0,2
248,267065,0.0,1
249,267084,0.0,2
250,268028,246.0,2
251,268152,147.0,2
252,267081,0.0,2
253,268077,242.0,2
254,267104,0.0,1
255,268099,277.0,3
256,268147,114.0,2
257,267091,0.0,1
258,268011,347.0,2
259,267015,0.0,2
260,268113,441.0,2
261,268052,240.0,2
262,268078,215.0,2
263,267134,0.0,2
264,268083,117.0,2
265,267112,0.0,1
266,267121,0.0,2
267,268003,293.0,3
268,267043,0.0,2
269,267129,0.0,2
270,267098,0.0,1
271,268149,127.0,2
272,267013,0.0,2
273,268115,322.0,2
274,268116,323.0,2
275,268065,257.0,2
276,267017,0.0,2
277,268057,149.0,2
278,268084,263.0,2
279,268107,109.0,2
280,267052,0.0,2
281,267148,0.0,2
282,268124,209.0,2
283,267135,0.0,2
284,268047,196.0,2
285,268151,128.0,2
286,268131,158.0,2
287,267021,0.0,2
288,268079,378.0,2
289,267020,0.0,2
290,267049,0.0,2
291,267105,0.0,2
292,268154,261.0,2
293,267115,0.0,2
294,267063,0.0,2
295,268085,350.0,2
296,267149,0.0,2
297,268138,269.0,3
298,268082,317.0,3
299,267035,0.0,1
300,268110,585.0,2
301,267030,0.0,2
302,268159,230.0,2
303,267106,0.0,2
304,268130,300.0,2
305,268137,223.0,2
306,267059,0.0,2
307,267050,8.0,2
308,267144,0.0,2
309,268102,101.0,2
310,267125,0.0,2
311,267126,0.0,2
312,267034,0.0,2
313,267047,2.0,2
314,267097,0.0,2
315,267064,0.0,2
316,267140,0.0,2
317,268027,302.0,2
318,268051,267.0,2
319,268111,295.0,2
320,267122,0.0,2
321,267040,1.0,2
